id,produto,quantidade,preço,data
199,caneca personalizada,10,8.00,20/04/24
200,almofada decorativa,5,15.00,20/04/24
201,porta-retratos,12,10.00,20/04/24
202,caneta tinteiro,8,20.00,20/04/24
203,relógio de parede,6,25.00,20/04/24
204,porta-chaves,15,5.00,20/04/24
205,luminária de mesa,7,18.00,20/04/24
206,vaso decorativo,10,12.00,20/04/24
207,tapete,4,30.00,20/04/24
208,caixa organizadora,8,7.00,20/04/24
209,caneca de porcelana,12,6.00,20/04/24
210,quadro decorativo,3,40.00,20/04/24
211,espelho decorativo,6,22.00,20/04/24
212,porta-retratos digital,2,50.00,20/04/24
213,cadeira de escritório,8,100.00,20/04/24
214,estante de livros,3,120.00,20/04/24
215,luminária de teto,5,60.00,20/04/24
216,tapete antiderrapante,6,35.00,20/04/24
217,organizador de maquiagem,10,15.00,20/04/24
218,cesto de roupa suja,8,20.00,20/04/24
219,cabideiro,10,8.00,20/04/24
220,porta-bijuterias,7,12.00,20/04/24
221,cômoda,4,80.00,20/04/24
222,poltrona,3,150.00,20/04/24
223,cama box,2,300.00,20/04/24
224,colchão de casal,2,250.00,20/04/24
225,criado-mudo,6,60.00,20/04/24
226,cadeira de balanço,4,200.00,20/04/24
227,mesa de jantar,2,180.00,20/04/24
228,sofá,3,350.00,20/04/24
229,buffet,2,400.00,20/04/24
230,aparador,3,120.00,20/04/24
231,rack para tv,5,150.00,20/04/24
232,luminária de chão,3,80.00,20/04/24
233,tapete decorativo,8,40.00,20/04/24
234,cadeira gamer,5,280.00,20/04/24
235,mesa de computador,4,200.00,20/04/24
236,estante de tv,3,300.00,20/04/24
237,escrivaninha,6,150.00,20/04/24
238,abajur,8,25.00,20/04/24
239,kit de cama,4,120.00,20/04/24
240,jogo de toalhas,10,50.00,20/04/24
241,jogo de panelas,6,80.00,20/04/24
242,conjunto de talheres,8,30.00,20/04/24
243,copos de vidro,12,15.00,20/04/24
244,pratos de porcelana,10,20.00,20/04/24
245,taças de vinho,6,25.00,20/04/24
246,conjunto de facas,8,40.00,20/04/24
247,conjunto de tapetes de banheiro,5,20.00,20/04/24
248,conjunto de potes plásticos,10,12.00,20/04/24
249,conjunto de toalhas de mesa,6,18.00,20/04/24
250,faqueiro,8,45.00,20/04/24
251,balança de cozinha,5,20.00,20/04/24
252,liquidificador,3,80.00,20/04/24
253,cafeteira elétrica,4,60.00,20/04/24
254,panela de pressão,6,50.00,20/04/24
255,ventilador de mesa,10,30.00,20/04/24
256,ferro de passar roupa,7,40.00,20/04/24
257,aspirador de pó,3,120.00,20/04/24
258,liquidificador,4,70.00,20/04/24
259,batedeira,5,90.00,20/04/24
260,churrasqueira elétrica,2,150.00,20/04/24
261,cafeteira italiana,6,35.00,20/04/24
262,forno elétrico,3,200.00,20/04/24
263,mixer,5,50.00,20/04/24
264,grill elétrico,2,80.00,20/04/24
