id,produto,quantidade,preço,data
133,caneta esferográfica,20,1.00,19/04/2024
134,agenda executiva,8,12.00,19/04/2024
135,corretivo líquido,15,1.00,19/04/2024
136,transferidor,12,2.00,19/04/2024
137,lapiseira,25,2.00,19/04/2024
138,estojo escolar,5,9.00,19/04/2024
139,apontador duplo,8,2.00,19/04/2024
140,marcador de texto neon,10,3.00,19/04/2024
141,cola bastão,18,2.00,19/04/2024
142,tesoura escolar,30,5.00,19/04/2024
143,papel sulfite a4,200,20.00,19/04/2024
144,pasta com elástico,50,8.00,19/04/2024
145,caneta marca-texto,15,2.00,19/04/2024
146,caderno universitário,10,15.00,19/04/2024
147,giz de cera,50,4.00,19/04/2024
148,massa de modelar,20,3.00,19/04/2024
149,apontador elétrico,5,15.00,19/04/2024
150,régua técnica,10,3.00,19/04/2024
151,papel cartão,30,7.00,19/04/2024
152,lápis de cor,40,1.00,19/04/2024
153,caderno de desenho,20,10.00,19/04/2024
154,estojo de pintura,5,25.00,19/04/2024
155,borracha escolar,30,0.95,19/04/2024
156,lancheira térmica,15,12.00,19/04/2024
157,garrafa de água,20,5.00,19/04/2024
158,estojo de canetas coloridas,8,6.00,19/04/2024
159,dicionário de língua portuguesa,10,18.00,19/04/2024
160,grampeador,15,4.00,19/04/2024
161,fichário com zíper,6,20.00,19/04/2024
162,caderno de caligrafia,12,9.00,19/04/2024
163,calculadora científica,5,35.00,19/04/2024
164,cartolina,25,2.00,19/04/2024
165,compasso,10,3.00,19/04/2024
166,estojo de geometria,8,7.00,19/04/2024
167,livro de literatura,20,20.00,19/04/2024
168,livro de matemática,15,18.00,19/04/2024
169,borracha escolar,30,0.78,19/04/2024
170,lápis de cor,40,1.00,19/04/2024
171,tesoura escolar,30,5.00,19/04/2024
172,agenda executiva,8,12.00,19/04/2024
173,régua técnica,10,3.00,19/04/2024
174,grampeador,15,4.00,19/04/2024
175,cartolina,25,2.00,19/04/2024
176,caderno de desenho,20,10.00,19/04/2024
177,massa de modelar,20,3.00,19/04/2024
178,borracha escolar,30,0.89,19/04/2024
179,caderno universitário,10,15.00,19/04/2024
180,transferidor,12,2.00,19/04/2024
181,apontador duplo,8,2.00,19/04/2024
182,marcador de texto neon,10,3.00,19/04/2024
183,cola bastão,18,2.00,19/04/2024
184,tesoura escolar,30,5.00,19/04/2024
185,papel sulfite a4,200,20.00,19/04/2024
186,pasta com elástico,50,8.00,19/04/2024
187,caneta marca-texto,15,2.00,19/04/2024
188,caderno universitário,10,15.00,19/04/2024
189,giz de cera,50,4.00,19/04/2024
190,massa de modelar,20,3.00,19/04/2024
191,apontador elétrico,5,15.00,19/04/2024
192,régua técnica,10,3.00,19/04/2024
193,papel cartão,30,7.00,19/04/2024
194,lápis de cor,40,1.00,19/04/2024
195,caderno de desenho,20,10.00,19/04/2024
196,estojo de pintura,5,25.00,19/04/2024
197,borracha escolar,30,0.78,19/04/2024
198,lancheira térmica,15,12.00,19/04/2024
